"Backlink URL",Title,"Destination URL",Anchor,Image,NoFollow,PT,"Total traffic","Keywords total","Domain Traffic",DT,"First seen","Last seen",Disavow
https://nobi-smart-lamps.prezly.com/fuhrende-agetech-expertin-sarah-thomas-verstarkt-nobi-beirat,"Führende AgeTech-Expertin Sarah Thomas verstärkt Nobi-Beirat",http://www.meztal.com/,MezTal,no,no,0,0,0,0,57,2023-07-02,2025-06-25,No
https://nobi-smart-lamps.prezly.com/internationale-agetech-expert-sarah-thomas-treedt-toe-tot-raad-van-bestuur-van-nobi,"Internationale AgeTech-expert Sarah Thomas treedt toe tot raad van bestuur van Nobi",http://www.meztal.com/,"recruitmentbedrijf MezTal",no,no,0,0,0,0,57,2023-09-23,2025-05-22,No
https://nobi-smart-lamps.prezly.com/sarah-thomas-specialiste-reconnue-des-technologies-concues-pour-les-personnes-agees-entre-au-conseil-dadministration-de-nobi,"Sarah Thomas, spécialiste reconnue des technologies conçues pour les personnes âgées, entre au conseil d'administration de Nobi",http://www.meztal.com/,"MezTal à Guadalajara",no,no,0,0,0,0,57,2023-07-02,2025-05-22,No
https://nobi-smart-lamps.prezly.com/nobi-adds-leading-agetech-expert-sarah-thomas-to-board-of-directors,"Nobi Adds Leading AgeTech Expert Sarah Thomas to Board of Directors",http://www.meztal.com/,"MezTal in Guadalajara",no,no,0,0,0,0,57,2023-06-30,2025-05-22,No
https://aijobs.net/job/467295-data-analyst-marketing-background/,"Data Analyst (Marketing Background) at MezTal - Guadalajara, Jalisco, Mexico | aijobs.net",https://www.meztal.com/,Website,no,yes,0,0,0,7019,47,2024-08-13,2024-08-13,No
https://job.zip/recruiter/automation-tester,"Top Automation Tester Recruitment & Staffing agencies",http://www.meztal.com/,"Visit Website",no,no,0,0,0,9,36,2025-03-05,2025-05-08,No
https://jobgether.com/offer/66c60fa0b7394dd03efdec1a-paid-search-strategist--gdl-only,"Paid Search Strategist- GDL Only",https://www.meztal.com/,https://www.meztal.com/,no,no,0,0,0,10076,36,2024-08-31,2024-09-03,No
https://www.gyfted.me/companies/meztal,"Companies | Remote Jobs • MezTal Careers",https://www.meztal.com/,,no,no,0,0,0,4364,34,2024-04-29,2025-07-05,No
https://healthpodcastnetwork.com/episodes/this-week-in-health-it/interview-in-action-himss-23-roeland-pelgrims-nobi-bv-sarah-thomas-meztal-agetech-capital/,"Interview in Action @ HIMSS '23 - Roeland Pelgrims, Nobi BV & Sarah Thomas, MezTal, AgeTech Capital – Health Podcast Network",https://www.meztal.com/,MezTal,no,no,0,0,0,515,34,2024-08-20,2024-08-20,No
https://thisweekhealth.com/captivate-podcast/interview-in-action-himss-23-roeland-pelgrims-nobi-bv-sarah-thomas-meztal-agetech-capital/,"Interview in Action @ HIMSS '23 - Roeland Pelgrims, Nobi BV & Sarah Thomas, MezTal, AgeTech Capital - This Week Health",https://www.meztal.com/,MezTal,no,no,0,0,3,364,32,2023-10-05,2025-08-13,No
https://www.ashaliving.org/about-asha/asha-members/,"ASHA Members | ASHA",http://www.meztal.com/,www.meztal.com,no,no,0,0,11,47,31,2022-01-19,2025-03-13,No
https://ashaliving.org/about-asha/asha-members/,"ASHA Members - American Seniors Housing Association",http://www.meztal.com/,www.meztal.com,no,no,0,0,139,669,27,2025-03-17,2025-08-17,No
https://www.seniortrade.com/post/sarah-thomas-on-age-tech-innovation-and-the-future-of-senior-living,"Sarah Thomas on Age-Tech Innovation and the Future of Senior Living",https://www.meztal.com/,MezTal,no,no,0,0,0,15,15,2025-08-02,2025-08-02,No
https://latam.jobs/company/meztal,"Remote jobs at Meztal for Latin America - LATAM Jobs",https://www.meztal.com/,Website,no,no,0,0,0,391,6,2024-09-17,2025-05-14,No
